"B","SE","CI.LB","CI.UB","beta","p"
"-0.43","0.04","-0.51","-0.36","-.67","< .001"
"0.06","0.05","-0.04","0.16",".10",".235"
"0.01","0.05","-0.08","0.10",".01",".889"
"-0.09","0.10","-0.28","0.11","-.08",".368"
"0.04","0.07","-0.09","0.17",".04",".536"
"0.17","0.06","0.04","0.30",".23",".009"
"0.03","0.05","-0.06","0.13",".05",".485"
"-0.44","0.08","-0.59","-0.29","-.67","< .001"
"0.23","0.06","0.11","0.35",".39","< .001"
"0.14","0.12","-0.09","0.37",".10",".241"
"-0.05","0.09","-0.21","0.12","-.04",".593"
"-0.03","0.08","-0.19","0.13","-.03",".730"
"0.04","0.05","-0.06","0.14",".05",".445"
"0.11","0.09","-0.07","0.30",".16",".225"
"-0.32","0.08","-0.48","-0.17","-.50","< .001"
"0.07","0.14","-0.20","0.33",".05",".626"
"0.03","0.10","-0.16","0.22",".02",".734"
"0.03","0.09","-0.15","0.21",".03",".773"
"0.05","0.02","0.00","0.09",".11",".033"
"-0.03","0.04","-0.10","0.04","-.07",".457"
"0.03","0.03","-0.03","0.08",".07",".397"
"-0.78","0.07","-0.93","-0.63","-.99","< .001"
"0.04","0.05","-0.06","0.14",".05",".475"
"0.45","0.05","0.35","0.54",".91","< .001"
"-0.03","0.04","-0.10","0.04","-.06",".428"
"0.02","0.05","-0.08","0.12",".05",".702"
"-0.02","0.04","-0.10","0.07","-.05",".678"
"0.22","0.08","0.06","0.37",".26",".005"
"-0.21","0.07","-0.34","-0.08","-.27",".001"
"-0.14","0.06","-0.25","-0.03","-.27",".011"
"0.04","0.03","-0.01","0.10",".11",".090"
"-0.01","0.05","-0.10","0.08","-.04",".753"
"0.02","0.04","-0.06","0.09",".05",".637"
"-0.17","0.08","-0.32","-0.01","-.22",".033"
"-0.15","0.06","-0.27","-0.04","-.21",".008"
"-0.10","0.06","-0.21","0.02","-.21",".091"
"0.51","0.06","0.39","0.63",".55","< .001"
"0.51","0.07","0.38","0.64",".49","< .001"
"0.16","0.03","0.10","0.21",".34","< .001"
"-0.12","0.03","-0.18","-0.06","-.24","< .001"
"0.27","0.05","0.18","0.36",".36","< .001"
"0.97","0.08","0.81","1.12",".84","< .001"
"0.14","0.03","0.08","0.20",".28","< .001"
"-0.08","0.03","-0.15","-0.02","-.16",".011"
"0.20","0.05","0.10","0.31",".25","< .001"
"0.14","0.04","0.07","0.21",".24","< .001"
"-0.05","0.04","-0.12","0.03","-.08",".208"
"0.24","0.06","0.12","0.35",".26","< .001"
"-0.10","0.02","-0.14","-0.07","-.39","< .001"
"0.33","0.03","0.27","0.39",".82","< .001"
"-0.22","0.03","-0.28","-0.16","-.52","< .001"
"0.08","0.03","0.03","0.13",".26",".003"
"0.08","0.03","0.02","0.13",".24",".004"
"0.00","0.01","-0.02","0.02",".02",".722"
"-0.02","0.01","-0.05","0.01","-.11",".162"
"0.00","0.01","-0.02","0.02",".01",".905"
"0.32","0.06","0.21","0.43",".74","< .001"
"0.03","0.02","0.00","0.06",".13",".082"
"0.00","0.02","-0.03","0.03","-.01",".928"
"0.03","0.01","0.01","0.06",".16",".019"
"0.02","0.02","-0.01","0.05",".08",".222"
"0.00","0.02","-0.03","0.04",".01",".820"
"0.04","0.02","0.01","0.07",".17",".012"
"-0.02","0.01","-0.03","0.00","-.15",".010"
"0.06","0.01","0.03","0.08",".48","< .001"
"-0.02","0.01","-0.04","0.00","-.14",".043"
