"B","SE","CI.LB","CI.UB","beta","p"
"-0.52","0.07","-0.66","-0.37","-.56","< .001"
"0.07","0.10","-0.12","0.26",".07",".492"
"0.07","0.08","-0.08","0.22",".08",".353"
"-0.22","0.17","-0.56","0.12","-.12",".207"
"-0.17","0.12","-0.40","0.06","-.10",".138"
"0.20","0.12","-0.04","0.44",".17",".099"
"0.02","0.04","-0.06","0.10",".04",".581"
"-0.33","0.06","-0.45","-0.20","-.63","< .001"
"0.11","0.04","0.02","0.19",".22",".013"
"-0.04","0.11","-0.25","0.18","-.03",".742"
"-0.06","0.07","-0.20","0.08","-.06",".389"
"0.01","0.07","-0.12","0.15",".02",".844"
"0.00","0.06","-0.11","0.11",".00",".974"
"0.15","0.07","0.00","0.29",".22",".043"
"-0.37","0.06","-0.49","-0.25","-.59","< .001"
"-0.07","0.15","-0.35","0.22","-.05",".655"
"0.05","0.10","-0.14","0.24",".04",".610"
"0.14","0.10","-0.06","0.35",".16",".166"
"-0.03","0.03","-0.09","0.02","-.09",".217"
"0.07","0.04","-0.01","0.14",".18",".082"
"0.02","0.03","-0.03","0.08",".06",".442"
"-0.81","0.07","-0.95","-0.67","-1.02","< .001"
"0.05","0.05","-0.05","0.14",".06",".351"
"0.46","0.05","0.37","0.55",".94","< .001"
"0.01","0.03","-0.06","0.07",".02",".852"
"-0.01","0.05","-0.11","0.09","-.03",".825"
"-0.01","0.04","-0.09","0.06","-.04",".716"
"0.22","0.08","0.07","0.38",".27",".005"
"-0.21","0.07","-0.35","-0.08","-.27",".002"
"-0.15","0.06","-0.26","-0.03","-.29",".011"
"0.08","0.03","0.02","0.13",".20",".010"
"-0.01","0.05","-0.10","0.08","-.02",".851"
"-0.02","0.04","-0.10","0.05","-.06",".579"
"-0.16","0.08","-0.31","0.00","-.21",".044"
"-0.15","0.06","-0.26","-0.04","-.21",".008"
"-0.10","0.05","-0.21","0.01","-.21",".067"
"0.73","0.07","0.59","0.86",".70","< .001"
"0.66","0.07","0.52","0.79",".58","< .001"
"0.16","0.03","0.09","0.22",".31","< .001"
"-0.11","0.03","-0.18","-0.05","-.22",".001"
"0.29","0.05","0.18","0.39",".35","< .001"
"0.94","0.08","0.79","1.08",".81","< .001"
"0.17","0.03","0.10","0.23",".32","< .001"
"-0.12","0.03","-0.19","-0.06","-.22","< .001"
"0.26","0.05","0.16","0.37",".32","< .001"
"0.20","0.04","0.13","0.27",".35","< .001"
"-0.12","0.04","-0.19","-0.05","-.21",".001"
"0.33","0.06","0.21","0.45",".36","< .001"
"-0.10","0.02","-0.14","-0.07","-.39","< .001"
"0.33","0.03","0.27","0.39",".82","< .001"
"-0.22","0.03","-0.28","-0.16","-.52","< .001"
"0.21","0.03","0.15","0.27",".53","< .001"
"0.24","0.04","0.16","0.31",".45","< .001"
"0.02","0.02","-0.02","0.05",".07",".347"
"0.01","0.02","-0.03","0.06",".04",".562"
"0.05","0.02","0.01","0.08",".17",".008"
"0.21","0.03","0.15","0.26",".65","< .001"
"0.01","0.01","-0.01","0.03",".05",".438"
"-0.01","0.01","-0.03","0.01","-.05",".452"
"0.02","0.01","0.00","0.04",".12",".092"
"0.03","0.02","0.00","0.06",".14",".091"
"0.00","0.02","-0.03","0.03",".01",".916"
"0.05","0.02","0.02","0.08",".22",".003"
"-0.02","0.01","-0.03","0.00","-.15",".009"
"0.06","0.01","0.04","0.08",".51","< .001"
"-0.02","0.01","-0.04","0.00","-.15",".035"
