"datum_I","datum_II","sex","alter_I","sex_II","alter_II","note_all","not_m","note_d","note_p","note_c","an_1","an_2","an_3","an_4","an_5","an_6","an_7","lm_1","lm_2","lm_3","lm_4","lm_5","lm_6","lm_7","kom_al1","kom_al2","kom_al3","kom_al4","kom_c1","kom_c2","kom_c3","kom_c4","kom_d1","kom_d2","kom_d3","kom_d4","kom_m1","kom_m2","kom_m3","kom_m4","kom_p1","kom_p2","kom_p3","kom_p4","in_al1","in_al2","in_al3","in_c1","in_c2","in_c3","in_d1","in_d2","in_d3","in_m1","in_m2","in_m3","in_p1","in_p2","in_p3","nfc_01","nfc_02","nfc_03","nfc_05","nfc_13","nfc_14","nfc_04g","nfc_06g","nfc_07g","nfc_08g","nfc_09g","nfc_10g","nfc_11g","nfc_12g","nfc_15g","nfc_16g","item_sk","fsk_al","fsk_m","fsk_d","fsk_p","fsk_c","in_al","in_m","in_d","in_p","in_c","hae","fvm","ska_nfc","item_sk_2","kom_al1_2","kom_al2_2","kom_al3_2","kom_al4_2","kom_m1_2","kom_m2_2","kom_m3_2","kom_m4_2","kom_d1_2","kom_d2_2","kom_d3_2","kom_d4_2","kom_p1_2","kom_p2_2","kom_p3_2","kom_p4_2","kom_c1_2","kom_c2_2","kom_c3_2","kom_c4_2","in_al1_2","in_al2_2","in_al3_2","in_m1_2","in_m2_2","in_m3_2","in_d1_2","in_d2_2","in_d3_2","in_p1_2","in_p2_2","in_p3_2","in_c1_2","in_c2_2","in_c3_2","lm_1_2","lm_2_2","lm_3_2","lm_4_2","lm_5_2","lm_6_2","lm_7_2","an_1_2","an_2_2","an_3_2","an_4_2","an_5_2","an_6_2","an_7_2","nfc_01_2","nfc_02_2","nfc_03_2","nfc_05_2","nfc_13_2","nfc_14_2","nfc_04g_2","nfc_06g_2","nfc_07g_2","nfc_08g_2","nfc_09g_2","nfc_10g_2","nfc_11g_2","nfc_12g_2","nfc_15g_2","nfc_16g_2","note_all_2","not_m_2","note_d_2","note_p_2","note_c_2","fsk_al_2","fsk_m_2","fsk_d_2","fsk_p_2","fsk_c_2","hae_2","fvm_2","ska_nfc_2","in_al_2","in_m_2","in_d_2","in_p_2","in_c_2"
NA,2009-03-20,2,17,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,4,5,3,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,2,2,2,5,5,5,5,5,5,4,3,4,4,3,4,3,4,3,4,4,4,1,2,7,7,7,7,7,7,7,7,7,7,5,5,7,1,7,7,2.2,1,4,2,2,5,5,4,5,4.75,3.57142857142857,3.14285714285714,6.375,4.66666666666667,5,2,5,5
NA,2009-03-20,2,17,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,4,3,4,3,3,2,2,2,2,3,3,3,3,3,3,3,4,3,3,4,4,3,1,2,3,3,3,3,2,2,2,2,2,2,2,4,4,4,2,4,4,4,3,1,1,3,2,2,3,2,3,2,2,2,1,5,4,5,3,3.75,3,4.25,2,3,3.25,3.25,2,3,2,3.71428571428571,2.5625,3,3.33333333333333,3.66666666666667,2,3
NA,2009-03-20,2,18,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,3,5,5,5,5,3,3,3,3,4,4,4,5,1,1,1,1,5,5,5,5,5,5,4,4,4,4,5,5,1,1,1,3,3,3,3,2,4,3,1,1,1,1,1,1,1,5,4,4,6,4,2,4,5,6,5,6,6,3,5,7,6,3,2,3,2,NA,3.5,5,3,4.25,1,3,1,4.875,5,5,4,4.66666666666667,1
NA,2009-03-20,2,18,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,5,5,4,4,4,4,3,2,2,2,2,3,3,3,3,2,2,4,3,3,4,3,3,3,1,1,1,2,2,3,2,2,3,4,2,3,4,1,1,1,1,1,1,2,5,5,4,6,4,4,6,5,6,5,6,4,5,5,5,5,NA,NA,NA,NA,NA,3.5,4.5,3.75,2,3,2.85714285714286,1.14285714285714,5,2.66666666666667,3.33333333333333,3,1,2.33333333333333
NA,2009-03-20,2,18,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,5,5,4,5,2,3,2,2,5,5,4,5,4,4,3,4,3,3,3,4,4,4,1,1,1,4,4,4,4,3,4,2,1,2,2,1,1,2,2,1,2,1,2,1,2,3,3,2,5,3,3,4,3,4,4,4,3,4,2,4,4,2.5,3,4,3,2,3.25,4.75,2.25,4.75,3.75,1.57142857142857,1.57142857142857,3.4375,3,4,1,4,3.66666666666667
NA,2009-03-20,1,17,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,5,5,4,4,2,3,2,2,4,3,3,3,1,1,1,1,2,2,3,5,5,4,2,2,2,4,4,5,1,1,1,4,4,3,4,3,4,4,2,4,2,1,3,1,3,5,6,4,4,5,5,3,5,3,5,5,4.40310461651712,4,4,5,6,3,3,4,4,3,3,4.5,2.25,3.25,1,3.71428571428571,2.28571428571429,4.58769403853232,2.33333333333333,4.66666666666667,2,4.33333333333333,1
NA,2009-03-20,1,17,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,3,3,3,3,4,5,5,5,4,2.65,2.63888888888889,2.52648566351524,2.45216213282402,1,1,1,1,4,4,3,3,3,2,3,3,4,2.34589738108649,2.39444444444444,2.67302698045396,1,1,1,2,3,3,3,2,2,4,2,1,2,2,1,1,2,4,6,5,6,3,3,5,6,4,5,7,7,5,1,6,6,2.5,3,2,NA,4,3.25,3.25,4.75,2.56688417130704,1,2.71428571428571,1.57142857142857,4.9375,3.66666666666667,2.66666666666667,3.33333333333333,2.4711229353283,1
NA,2009-03-20,1,17,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,3,2,4,3,4,5,5,5,1,2,1,1,2,3,3,3,4,3,4,2,4,4,2,2,1,1,1,1,1,2,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,6,7,3,7,5,5,7,7,7,7,7,7,7,6,7,7,1.6,1,2,NA,2,5,3,4.75,1.25,2.75,2.71428571428571,1,6.375,3.66666666666667,3.33333333333333,1.66666666666667,1,2.33333333333333
NA,2009-03-20,1,17,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,3,4,3,1,1,1,4,2,1,2,1,1,1,1,1,2,2,1,3,1,1,3,4,4,4,3,4,3,3,2,2,2,4,4,4,3,4,3,3,4,4,4,4,4,4,3,5.25,3,NA,4,3,1,3,2,2,1.85714285714286,3.57142857142857,3.4375,3.33333333333333,1,2.33333333333333,1.33333333333333,1
NA,2009-03-20,1,17,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,4,3,3,3,4,4,4,4,4,2,2,2,2,2,3,2,3,3,3,3,4,3,3,4,4,4,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,5,3,3,4,4,4,4,5,3,4,5,5,3,3.1,3,3,2,4,3.5,3.25,4,2,2.5,2.85714285714286,3,3.875,3,3.33333333333333,4,2.33333333333333,2.66666666666667
