"","B","SE","CI.LB","CI.UB","beta","p"
"grd.d ~ grd.1 beta1","-0.34","0.05","-0.43","-0.25","-.54","< .001"
"grd.d ~ asc.1 gamma21","0.11","0.05","0.01","0.22",".16",".033"
"grd.d ~ int.1 gamma31","0.04","0.03","-0.02","0.10",".09",".154"
"grd.d ~ hfs.1 gamma41","-0.06","0.06","-0.18","0.06","-.09",".311"
"grd.d ~ fof.1 gamma51","0.01","0.04","-0.07","0.08",".01",".863"
"grd.d ~ nfc.1 gamma61","0.10","0.04","0.01","0.18",".24",".024"
"asc.d ~ grd.1 gamma12","0.05","0.03","-0.01","0.11",".11",".083"
"asc.d ~ asc.1 beta2","-0.35","0.05","-0.45","-0.25","-.63","< .001"
"asc.d ~ int.1 gamma32","0.04","0.02","-0.01","0.08",".10",".110"
"asc.d ~ hfs.1 gamma42","-0.03","0.05","-0.13","0.07","-.06",".569"
"asc.d ~ fof.1 gamma52","-0.03","0.03","-0.09","0.03","-.06",".343"
"asc.d ~ nfc.1 gamma62","0.08","0.03","0.01","0.14",".23",".019"
"int.d ~ grd.1 gamma13","0.10","0.08","-0.06","0.27",".11",".205"
"int.d ~ asc.1 gamma23","-0.05","0.09","-0.23","0.13","-.05",".557"
"int.d ~ int.1 beta3","-0.19","0.05","-0.29","-0.09","-.28","< .001"
"int.d ~ hfs.1 gamma43","-0.02","0.11","-0.24","0.20","-.02",".863"
"int.d ~ fof.1 gamma53","-0.02","0.07","-0.16","0.12","-.02",".767"
"int.d ~ nfc.1 gamma63","0.00","0.08","-0.15","0.15",".00",".974"
"hfs.d ~ grd.1 gamma14","0.06","0.05","-0.05","0.16",".08",".281"
"hfs.d ~ asc.1 gamma24","-0.03","0.06","-0.15","0.08","-.04",".587"
"hfs.d ~ int.1 gamma34","0.04","0.03","-0.02","0.09",".07",".179"
"hfs.d ~ hfs.1 beta4","-0.78","0.07","-0.92","-0.63","-.98","< .001"
"hfs.d ~ fof.1 gamma54","0.03","0.05","-0.07","0.13",".04",".516"
"hfs.d ~ nfc.1 gamma64","0.44","0.05","0.35","0.53",".90","< .001"
"fof.d ~ grd.1 gamma15","-0.08","0.06","-0.20","0.03","-.11",".169"
"fof.d ~ asc.1 gamma25","0.02","0.07","-0.10","0.15",".03",".706"
"fof.d ~ int.1 gamma35","0.03","0.04","-0.04","0.11",".06",".351"
"fof.d ~ hfs.1 gamma45","0.20","0.08","0.05","0.36",".25",".010"
"fof.d ~ fof.1 beta5","-0.22","0.07","-0.35","-0.08","-.28",".001"
"fof.d ~ nfc.1 gamma65","-0.14","0.06","-0.26","-0.02","-.28",".018"
"nfc.d ~ grd.1 gamma16","0.19","0.05","0.09","0.29",".27","< .001"
"nfc.d ~ asc.1 gamma26","-0.13","0.06","-0.25","-0.01","-.16",".039"
"nfc.d ~ int.1 gamma36","-0.02","0.03","-0.08","0.05","-.03",".605"
"nfc.d ~ hfs.1 gamma46","-0.13","0.08","-0.29","0.02","-.18",".088"
"nfc.d ~ fof.1 gamma56","-0.15","0.06","-0.27","-0.04","-.21",".009"
"nfc.d ~ nfc.1 beta6","-0.11","0.05","-0.22","0.00","-.23",".046"
"grd.1 ~~ asc.1 phi12","0.15","0.02","0.12","0.19",".61","< .001"
"grd.1 ~~ int.1 phi13","0.17","0.03","0.12","0.22",".41","< .001"
"grd.1 ~~ hfs.1 phi14","0.10","0.02","0.07","0.14",".39","< .001"
"grd.1 ~~ fof.1 phi15","-0.08","0.02","-0.12","-0.05","-.29","< .001"
"grd.1 ~~ nfc.1 phi16","0.21","0.03","0.15","0.26",".48","< .001"
"asc.1 ~~ int.1 phi23","0.19","0.02","0.15","0.24",".53","< .001"
"asc.1 ~~ hfs.1 phi24","0.11","0.02","0.08","0.14",".47","< .001"
"asc.1 ~~ fof.1 phi25","-0.08","0.02","-0.11","-0.04","-.31","< .001"
"asc.1 ~~ nfc.1 phi26","0.19","0.03","0.14","0.24",".50","< .001"
"int.1 ~~ hfs.1 phi34","0.14","0.02","0.09","0.19",".36","< .001"
"int.1 ~~ fof.1 phi35","-0.06","0.02","-0.10","-0.01","-.14",".020"
"int.1 ~~ nfc.1 phi36","0.24","0.04","0.16","0.32",".39","< .001"
"hfs.1 ~~ fof.1 phi45","-0.10","0.02","-0.14","-0.07","-.39","< .001"
"hfs.1 ~~ nfc.1 phi46","0.33","0.03","0.27","0.39",".82","< .001"
"fof.1 ~~ nfc.1 phi56","-0.22","0.03","-0.28","-0.16","-.52","< .001"
"grd.d ~~ asc.d rho12","0.01","0.00","0.00","0.02",".17",".003"
"grd.d ~~ int.d rho13","0.00","0.01","-0.02","0.02",".00",".960"
"grd.d ~~ hfs.d rho14","0.00","0.01","-0.01","0.02",".02",".740"
"grd.d ~~ fof.d rho15","0.00","0.01","-0.02","0.01","-.03",".569"
"grd.d ~~ nfc.d rho16","0.01","0.01","0.00","0.03",".11",".101"
"asc.d ~~ int.d rho23","0.04","0.01","0.03","0.06",".39","< .001"
"asc.d ~~ hfs.d rho24","0.01","0.01","0.00","0.02",".09",".239"
"asc.d ~~ fof.d rho25","-0.01","0.00","-0.02","0.00","-.07",".218"
"asc.d ~~ nfc.d rho26","0.02","0.01","0.01","0.03",".24","< .001"
"int.d ~~ hfs.d rho34","0.02","0.02","-0.01","0.05",".12",".248"
"int.d ~~ fof.d rho35","0.02","0.01","-0.01","0.04",".08",".228"
"int.d ~~ nfc.d rho36","0.04","0.01","0.01","0.07",".24",".002"
"hfs.d ~~ fof.d rho45","-0.02","0.01","-0.03","-0.01","-.15",".008"
"hfs.d ~~ nfc.d rho46","0.06","0.01","0.04","0.07",".49","< .001"
"fof.d ~~ nfc.d rho56","-0.02","0.01","-0.04","0.00","-.13",".057"
