"B","SE","CI.LB","CI.UB","beta","p"
"-0.52","0.06","-0.64","-0.41","-.65","< .001"
"0.32","0.07","0.18","0.46",".39","< .001"
"-0.01","0.05","-0.11","0.09","-.02",".841"
"-0.28","0.13","-0.53","-0.03","-.22",".029"
"-0.04","0.07","-0.19","0.10","-.04",".548"
"0.27","0.09","0.10","0.45",".35",".002"
"0.07","0.03","0.02","0.13",".18",".009"
"-0.21","0.04","-0.28","-0.14","-.48","< .001"
"0.01","0.03","-0.04","0.06",".03",".694"
"-0.04","0.06","-0.16","0.07","-.07",".455"
"-0.07","0.04","-0.14","0.01","-.11",".078"
"0.05","0.04","-0.03","0.13",".12",".210"
"0.04","0.05","-0.05","0.13",".05",".413"
"0.23","0.07","0.09","0.38",".31",".001"
"-0.36","0.06","-0.46","-0.25","-.55","< .001"
"-0.03","0.12","-0.27","0.21","-.02",".814"
"-0.05","0.07","-0.18","0.08","-.04",".461"
"-0.03","0.08","-0.18","0.12","-.05",".659"
"0.02","0.03","-0.04","0.07",".04",".498"
"-0.07","0.04","-0.14","-0.01","-.14",".035"
"0.03","0.03","-0.02","0.08",".07",".202"
"-0.77","0.07","-0.92","-0.63","-.98","< .001"
"0.03","0.05","-0.07","0.13",".04",".550"
"0.46","0.05","0.36","0.56",".94","< .001"
"-0.07","0.04","-0.14","0.00","-.13",".055"
"0.07","0.04","-0.02","0.15",".12",".146"
"-0.01","0.04","-0.09","0.06","-.03",".717"
"0.21","0.08","0.06","0.36",".26",".006"
"-0.21","0.07","-0.34","-0.08","-.27",".002"
"-0.14","0.06","-0.25","-0.02","-.27",".017"
"0.06","0.03","0.01","0.12",".13",".020"
"-0.03","0.04","-0.12","0.05","-.07",".411"
"-0.01","0.03","-0.08","0.05","-.03",".711"
"-0.16","0.08","-0.32","-0.01","-.21",".039"
"-0.15","0.06","-0.27","-0.04","-.21",".008"
"-0.09","0.06","-0.20","0.02","-.19",".118"
"0.32","0.04","0.25","0.40",".53","< .001"
"0.33","0.05","0.24","0.42",".45","< .001"
"0.11","0.02","0.06","0.15",".27","< .001"
"-0.08","0.02","-0.13","-0.03","-.20",".001"
"0.21","0.04","0.14","0.29",".33","< .001"
"0.47","0.05","0.37","0.57",".68","< .001"
"0.07","0.02","0.02","0.11",".17",".006"
"-0.06","0.02","-0.10","-0.02","-.15",".005"
"0.14","0.04","0.06","0.21",".22",".001"
"0.07","0.03","0.02","0.12",".15",".007"
"-0.05","0.03","-0.10","0.00","-.11",".056"
"0.17","0.04","0.08","0.25",".23","< .001"
"-0.10","0.02","-0.14","-0.07","-.39","< .001"
"0.33","0.03","0.27","0.39",".82","< .001"
"-0.22","0.03","-0.28","-0.16","-.52","< .001"
"0.02","0.01","0.00","0.04",".12",".084"
"0.04","0.02","0.00","0.08",".15",".026"
"0.01","0.01","-0.01","0.04",".07",".345"
"-0.01","0.01","-0.03","0.01","-.05",".409"
"0.04","0.01","0.01","0.06",".20",".003"
"0.07","0.01","0.05","0.10",".44","< .001"
"0.00","0.01","-0.01","0.01","-.01",".882"
"0.00","0.01","-0.01","0.02",".02",".744"
"0.01","0.01","0.00","0.02",".08",".202"
"0.01","0.02","-0.02","0.04",".08",".342"
"0.01","0.01","-0.01","0.03",".04",".463"
"0.03","0.01","0.00","0.05",".14",".077"
"-0.02","0.01","-0.03","0.00","-.15",".010"
"0.06","0.01","0.04","0.08",".49","< .001"
"-0.02","0.01","-0.04","0.00","-.14",".060"
