"B","SE","CI.LB","CI.UB","beta","p"
"-0.55","0.08","-0.71","-0.38","-.57","< .001"
"0.06","0.12","-0.17","0.29",".07",".599"
"0.09","0.09","-0.08","0.26",".10",".309"
"-0.23","0.20","-0.62","0.15","-.12",".233"
"-0.20","0.13","-0.45","0.05","-.11",".118"
"0.20","0.14","-0.07","0.47",".17",".146"
"0.05","0.04","-0.03","0.13",".09",".246"
"-0.35","0.07","-0.48","-0.22","-.66","< .001"
"0.11","0.04","0.02","0.19",".22",".013"
"-0.03","0.11","-0.24","0.18","-.03",".778"
"-0.06","0.07","-0.20","0.08","-.06",".385"
"0.01","0.07","-0.13","0.15",".01",".923"
"0.01","0.06","-0.10","0.13",".02",".803"
"0.14","0.08","-0.01","0.29",".20",".064"
"-0.37","0.06","-0.49","-0.25","-.59","< .001"
"-0.06","0.15","-0.35","0.22","-.04",".666"
"0.05","0.10","-0.14","0.24",".04",".612"
"0.14","0.10","-0.06","0.34",".16",".177"
"-0.04","0.03","-0.09","0.02","-.10",".185"
"0.07","0.04","-0.01","0.15",".19",".074"
"0.02","0.03","-0.04","0.08",".06",".465"
"-0.81","0.07","-0.95","-0.67","-1.02","< .001"
"0.05","0.05","-0.05","0.14",".06",".351"
"0.46","0.05","0.37","0.55",".94","< .001"
"0.01","0.04","-0.06","0.08",".02",".815"
"-0.01","0.05","-0.12","0.09","-.03",".803"
"-0.01","0.04","-0.09","0.06","-.04",".721"
"0.22","0.08","0.07","0.38",".27",".005"
"-0.21","0.07","-0.35","-0.08","-.27",".002"
"-0.15","0.06","-0.26","-0.04","-.29",".010"
"0.08","0.03","0.02","0.14",".21",".009"
"-0.01","0.05","-0.11","0.08","-.04",".773"
"-0.02","0.04","-0.09","0.06","-.06",".617"
"-0.15","0.08","-0.31","0.00","-.20",".048"
"-0.15","0.06","-0.26","-0.04","-.21",".008"
"-0.10","0.05","-0.21","0.01","-.22",".064"
