"","B","SE","lower","upper","beta","p","sig"
"49",-0.42,0.06,-0.54,-0.3,-0.61,0,"***"
"50",0.16,0.06,0.03,0.29,0.21,0.012,"*"
"51",0.04,0.03,-0.02,0.11,0.09,0.188,""
"52",-0.03,0.06,-0.15,0.08,-0.04,0.568,""
"53",0.02,0.04,-0.06,0.11,0.03,0.601,""
"54",0.1,0.04,0.02,0.19,0.22,0.018,"*"
"55",0.05,0.03,-0.01,0.11,0.11,0.086,""
"56",-0.35,0.05,-0.45,-0.26,-0.64,0,"***"
"57",0.04,0.02,-0.01,0.08,0.1,0.114,""
"58",-0.01,0.04,-0.09,0.07,-0.02,0.782,""
"59",-0.03,0.03,-0.09,0.04,-0.05,0.413,""
"60",0.08,0.03,0.02,0.13,0.22,0.004,"**"
"61",0.11,0.08,-0.06,0.27,0.12,0.196,""
"62",-0.06,0.09,-0.24,0.12,-0.05,0.529,""
"63",-0.19,0.05,-0.29,-0.09,-0.28,0,"***"
"64",-0.01,0.09,-0.19,0.16,-0.01,0.884,""
"65",-0.01,0.07,-0.14,0.12,-0.01,0.882,""
"66",0,0.06,-0.12,0.12,0,0.962,""
"67",0.04,0.06,-0.08,0.16,0.06,0.489,""
"68",-0.03,0.06,-0.16,0.09,-0.04,0.597,""
"69",0.05,0.03,-0.01,0.11,0.1,0.102,""
"70",-0.45,0.07,-0.58,-0.32,-0.57,0,"***"
"71",-0.01,0.05,-0.11,0.08,-0.02,0.787,""
"72",0.22,0.05,0.13,0.31,0.44,0,"***"
"73",-0.08,0.06,-0.2,0.04,-0.11,0.171,""
"74",0.03,0.06,-0.09,0.16,0.04,0.599,""
"75",0.03,0.04,-0.04,0.11,0.06,0.364,""
"76",0.07,0.06,-0.05,0.19,0.08,0.27,""
"77",-0.21,0.07,-0.34,-0.07,-0.26,0.002,"**"
"78",-0.08,0.05,-0.17,0.02,-0.15,0.11,""
"79",0.19,0.05,0.09,0.29,0.28,0,"***"
"80",-0.14,0.06,-0.26,-0.02,-0.18,0.022,"*"
"81",-0.02,0.03,-0.08,0.05,-0.04,0.601,""
"82",0.05,0.06,-0.07,0.16,0.07,0.407,""
"83",-0.09,0.05,-0.2,0.02,-0.13,0.097,""
"84",-0.15,0.04,-0.23,-0.06,-0.32,0.001,"**"
